gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_term,credit_history,property_area,loan_status
Male,Yes,0,Graduate,No,5849,0,128,360,1,Urban,Y
Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
Female,No,0,Graduate,No,5417,4196,267,360,1,Urban,Y
Male,Yes,2,Graduate,Yes,4006,1526,168,360,1,Rural,Y
Male,Yes,3+,Not Graduate,No,12841,10968,349,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,5000,0,200,360,1,Urban,Y
Female,No,0,Graduate,No,2500,2000,100,360,1,Semiurban,N
Male,Yes,1,Graduate,No,3500,1500,130,360,1,Rural,Y
Male,Yes,0,Graduate,No,6000,2000,250,360,0,Urban,N
Female,Yes,0,Graduate,No,4500,0,120,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,3200,1500,140,360,1,Rural,N
Female,No,0,Graduate,Yes,7000,0,180,360,1,Urban,Y
Male,Yes,1,Graduate,No,5200,1200,150,360,1,Semiurban,Y
Male,Yes,3+,Graduate,No,9000,3000,280,360,1,Urban,Y
Female,Yes,2,Graduate,No,4100,0,110,360,1,Rural,Y
Male,No,0,Graduate,No,2900,0,90,360,0,Semiurban,N
Male,Yes,1,Graduate,Yes,6400,1000,200,360,1,Urban,Y